university_name,teaching,international,research,citations,income,total_score,num_students,student_staff_ratio,international_students,year
Harvard University,99.7,72.4,98.7,98.8,34.5,96.1,"20,152",8.9,25,2011
California Institute of Technology,97.7,54.6,98,99.9,83.7,96,"2,243",6.9,27,2011
Massachusetts Institute of Technology,97.8,82.3,91.4,99.9,87.5,95.6,"11,074",9,33,2011
Stanford University,98.3,29.5,98.1,99.2,64.3,94.3,"15,596",7.8,22,2011
Princeton University,90.9,70.3,95.4,99.9,-,94.2,"7,929",8.4,27,2011
University of Cambridge,90.5,77.7,94.1,94,57,91.2,"18,812",11.8,34,2011
University of Oxford,88.2,77.2,93.9,95.1,73.5,91.2,"19,919",11.6,34,2011
"University of California, Berkeley",84.2,39.6,99.3,97.8,-,91.1,"36,186",16.4,15,2011
Imperial College London,89.2,90,94.5,88.3,92.9,90.6,"15,060",11.7,51,2011
Yale University,92.1,59.2,89.7,91.5,-,89.5,"11,751",4.4,20,2011
"University of California, Los Angeles",83,48.1,92.9,93.2,-,87.7,"38,206",10.3,15,2011
University of Chicago,79.1,62.8,87.9,96.9,-,86.9,"14,221",6.9,21,2011
Johns Hopkins University,80.9,58.5,89.2,92.3,100,86.4,"15,128",3.6,23,2011
Cornell University,82.2,62.4,88.8,88.1,34.7,83.9,"21,424",10.2,19,2011
ETH Zurich ‰ÛÒ Swiss Federal Institute of Technology Zurich,77.5,93.7,87.8,83.1,-,83.4,"18,178",14.7,37,2011
University of Michigan,83.9,53.3,89.1,84.1,59.6,83.4,"41,786",9,16,2011
University of Toronto,75.8,-,87.9,82.2,-,82,"66,198",19.5,15,2011
Columbia University,73.8,90.9,73.8,92.6,-,81,"25,055",5.9,28,2011
University of Pennsylvania,71.8,32.9,82.7,93.6,43.7,79.5,"20,376",6.5,20,2011
Carnegie Mellon University,70.3,39.1,79.3,95.7,53.7,79.3,"11,885",13.1,35,2011
University of Hong Kong,68.4,91.4,71.4,96.1,56.5,79.2,"19,835",17.6,38,2011
University College London,74,90.8,81.6,80.6,39,78.4,"26,607",10.7,46,2011
University of Washington,68.2,49,77.1,95.9,32.8,78,"44,020",11.8,13,2011
Duke University,66.8,49.4,71.5,92.3,100,76.5,"15,172",4.8,17,2011
Northwestern University,64.5,60.5,68.8,95.3,-,75.9,"18,334",13.8,15,2011
University of Tokyo,87.7,18.4,91.9,58.1,-,75.6,"26,199",5.7,10,2011
Georgia Institute of Technology,67.9,73.2,72.6,83.2,95.1,75.3,"19,967",20.1,26,2011
Pohang University of Science and Technology,69.5,32.6,62.5,96.5,100,75.1,"3,055",10.1,4,2011
"University of California, Santa Barbara",56.6,64.3,68,98.8,89.8,75,"22,020",27.3,11,2011
University of British Columbia,65.1,93.3,74.8,80.3,42.6,73.8,"50,152",17.6,25,2011
University of North Carolina at Chapel Hill,70.9,21.5,75.1,85,50.2,73.8,"26,518",7.3,8,2011
"University of California, San Diego",59.8,31.6,76.3,90.8,51.8,73.2,"27,233",6.5,11,2011
University of Illinois at Urbana-Champaign,68.1,55.9,80.9,72.9,-,73,"42,727",18.7,20,2011
National University of Singapore,65.5,97.8,72.6,78.7,40.5,72.9,"31,592",15.5,34,2011
McGill University,69,85.9,74.9,69,-,71.7,"31,326",13.7,23,2011
