world_rank,university_name,country,teaching,international,research,citations,income,total_score,num_students
200,Queen's University Belfast,United Kingdom,34.1,93.4,33.3,68.9,35.7,48.8,"17,940"
149,University of Twente,Netherlands,34.1,80.1,45.6,68.8,91.2,52.9,"6,631"
101,University of Basel,Switzerland,39.5,94.7,33.1,88.3,99.9,57.9,"12,551"
50,University of Wisconsin-Madison,United States of America,65.1,33,68.2,86.6,48.5,69.7,"39,655"
1,California Institute of Technology,United States of America,95.6,64,97.6,99.8,97.8,95.2,"2,243"
